,count,mean,std,min,25%,50%,75%,max
delta,2830429.0,0.16973854686450157,0.5253924716178832,-0.9999999999950892,-0.24918470411810145,0.13423508300707127,0.6460013450746293,0.9999809186102596
gamma,2830429.0,1.02594267478277e-05,1.0417703864876887e-05,4.770105099177669e-15,3.246396490304885e-06,7.438603243874104e-06,1.4164703244139918e-05,0.0001154926348744314
theta,2830429.0,-67223.37021689898,70584.23754388382,-614405.6909556002,-95296.28057588288,-43075.07160772671,-17973.685606483497,-8.544126105518656e-06
vega,2830429.0,4285.857621401769,3150.108505051057,1.5306310355828177e-07,2099.0835337962867,3388.0178760609,5672.831849249632,17101.252808634144
rho,2830429.0,-3687.0839505239646,13045.977881507586,-126980.96351444571,-1767.6610215071564,83.2980264276155,1049.7895656110356,9143.72104428298
